Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.03     70.96     0.02       60     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long>(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long)
  0.01     70.97     0.01   342732     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > > >(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >)
  0.01     70.98     0.01   342506     0.00     0.00  DatFileWriter::writeDatSpectrumDirectly(char const*, unsigned long)
  0.01     70.99     0.01   342506     0.00     0.00  SingleSpectrumHeader::scanSpectrumHeaderFromBuffer(char const*, Config const*)
  0.01     71.00     0.01   342506     0.00     0.00  DatFile::writePeakList(PeakList const&, SingleSpectrumHeader const*)
  0.01     71.01     0.01   342506     0.00     0.00  DatFile::getNextDatSpectrum(char*&, unsigned long&, float*, long*, char**)
  0.01     71.02     0.01   108390     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, int> >*)
  0.01     71.03     0.01    77080     0.00     0.00  SingleSpectrumHeader::writeHeaderToMgfBuffer(char*) const
  0.01     71.04     0.01    54192     0.00     0.00  MsClusterDataStorage::makeConsensus(Cluster*, SingleSpectrumHeader*)
  0.01     71.05     0.01    54192     0.00     0.00  MsClusterDataStorage::setConsensusParameters(Cluster*, SingleSpectrumHeader*)
  0.01     71.06     0.01    54192     0.00     0.00  PeakList::fullSanityCheck(unsigned long) const
  0.01     71.07     0.01     1128     0.00     0.00  std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> >::_M_fill_insert(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, unsigned long, DatSpectrumStats const&)
  0.01     71.08     0.01       30     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long, bool (*)(DatSpectrumStats const&, DatSpectrumStats const&)>(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, long, bool (*)(DatSpectrumStats const&, DatSpectrumStats const&)) [clone .constprop.154]
  0.01     71.09     0.01       29     0.00     0.00  MsClusterDataStorage::UpdateClusterIdxsLists(unsigned int)
  0.01     71.10     0.01        1     0.01     0.01  MsClusterDataStorage::initialize(MsParameterStruct*, Config const*, MsSimilarityModel const*)
  0.01     71.11     0.01        1     0.01     0.01  std::vector<SingleSpectrumHeader, std::allocator<SingleSpectrumHeader> >::_M_fill_insert(__gnu_cxx::__normal_iterator<SingleSpectrumHeader*, std::vector<SingleSpectrumHeader, std::allocator<SingleSpectrumHeader> > >, unsigned long, SingleSpectrumHeader const&)
  0.01     71.12     0.01     1206     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, long, ClusterPositionPair>(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, long, long, ClusterPositionPair)
  0.01     71.12     0.01                             void std::__adjust_heap<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, DistancePeak, bool (*)(DistancePeak const&, DistancePeak const&)>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, long, DistancePeak, bool (*)(DistancePeak const&, DistancePeak const&)) [clone .constprop.529]
  0.00     71.12     0.00  3889336     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > > >(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >)
  0.00     71.12     0.00   607932     0.00     0.00  Cluster::checkDistancePeaksOk() const
  0.00     71.12     0.00   480596     0.00     0.00  DatFile::closeAfterWriting()
  0.00     71.12     0.00   342511     0.00     0.00  SingleSpectrumHeader::scanSpectrumHeader(_IO_FILE*, Config const*)
  0.00     71.12     0.00   342506     0.00     0.00  DatFile::addSpectrumToStats(float, unsigned int)
  0.00     71.12     0.00   342506     0.00     0.00  DatFile::writeSpectrumFromBuffer(char const*, unsigned long)
  0.00     71.12     0.00   342506     0.00     0.00  SpectraAggregator::readPeakList(SingleSpectrumHeader const*, Peak*) const
  0.00     71.12     0.00   342506     0.00     0.00  SingleSpectrumHeader::writeHeaderToDatBuffer(char*) const
  0.00     71.12     0.00   342502     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<MassTolerancePair*, std::vector<MassTolerancePair, std::allocator<MassTolerancePair> > >, long>(__gnu_cxx::__normal_iterator<MassTolerancePair*, std::vector<MassTolerancePair, std::allocator<MassTolerancePair> > >, __gnu_cxx::__normal_iterator<MassTolerancePair*, std::vector<MassTolerancePair, std::allocator<MassTolerancePair> > >, long)
  0.00     71.12     0.00   319618     0.00     0.00  MsSimilarityModel::computePValue(unsigned long, unsigned long, float) const
  0.00     71.12     0.00   265426     0.00     0.00  AllocatedVector<unsigned int>::addElement(unsigned int const&)
  0.00     71.12     0.00   252850     0.00     0.00  DatFile::~DatFile()
  0.00     71.12     0.00   220281     0.00     0.00  Cluster::~Cluster()
  0.00     71.12     0.00   214975     0.00     0.00  MyVectorAllocator<unsigned int>::allocateVector()
  0.00     71.12     0.00   154160     0.00     0.00  BufferedOutputFile::writeToBuffer(char const*, unsigned long)
  0.00     71.12     0.00   118299     0.00     0.00  Cluster::backupDistancePeaks()
  0.00     71.12     0.00   108384     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<MassCount*, std::vector<MassCount, std::allocator<MassCount> > > >(__gnu_cxx::__normal_iterator<MassCount*, std::vector<MassCount, std::allocator<MassCount> > >, __gnu_cxx::__normal_iterator<MassCount*, std::vector<MassCount, std::allocator<MassCount> > >)
  0.00     71.12     0.00   108384     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<MassCount*, std::vector<MassCount, std::allocator<MassCount> > >, long>(__gnu_cxx::__normal_iterator<MassCount*, std::vector<MassCount, std::allocator<MassCount> > >, __gnu_cxx::__normal_iterator<MassCount*, std::vector<MassCount, std::allocator<MassCount> > >, long)
  0.00     71.12     0.00    77080     0.00     0.00  ClusterOutputter::outputCluster(Cluster const&, std::string const&, bool, bool)
  0.00     71.12     0.00    77080     0.00     0.00  OutputFilesForMzSlice::writeClusterToOutputFiles(Cluster const&, std::string const&, SingleSpectrumHeader const*, bool)
  0.00     71.12     0.00    74760     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_insert_unique_(std::_Rb_tree_const_iterator<std::pair<std::string const, int> >, std::pair<std::string const, int> const&)
  0.00     71.12     0.00    71964     0.00     0.00  std::vector<DistancePeak, std::allocator<DistancePeak> >::_M_fill_insert(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, unsigned long, DistancePeak const&)
  0.00     71.12     0.00    71052     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > > >(__gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >, __gnu_cxx::__normal_iterator<DatSpectrumStats*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > >)
  0.00     71.12     0.00    54192     0.00     0.00  std::_Rb_tree<short, std::pair<short const, int>, std::_Select1st<std::pair<short const, int> >, std::less<short>, std::allocator<std::pair<short const, int> > >::_M_get_insert_unique_pos(short const&)
  0.00     71.12     0.00    54192     0.00     0.00  std::_Rb_tree<short, std::pair<short const, int>, std::_Select1st<std::pair<short const, int> >, std::less<short>, std::allocator<std::pair<short const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<short const, int> >, short const&)
  0.00     71.12     0.00    54192     0.00     0.00  std::_Rb_tree<short, std::pair<short const, int>, std::_Select1st<std::pair<short const, int> >, std::less<short>, std::allocator<std::pair<short const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<short const, int> >*)
  0.00     71.12     0.00    54192     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > > >(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >)
  0.00     71.12     0.00    54192     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > > >(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >)
  0.00     71.12     0.00    54192     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, long>(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, long)
  0.00     71.12     0.00    23379     0.00     0.00  PeakList::normalizePeakIntensities()
  0.00     71.12     0.00    16645     0.00     0.00  PeakList::operator=(PeakList const&)
  0.00     71.12     0.00     6100     0.00     0.00  MassRangeMap::clear(float)
  0.00     71.12     0.00     3136     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > > >(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >)
  0.00     71.12     0.00     2304     0.00     0.00  DatFile::openForReading(char const*)
  0.00     71.12     0.00     2076     0.00     0.00  std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00     71.12     0.00     1337     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00     71.12     0.00     1289     0.00     0.00  std::vector<float, std::allocator<float> >::_M_fill_insert(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, unsigned long, float const&)
  0.00     71.12     0.00     1224     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_insert(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)
  0.00     71.12     0.00     1176     0.00     0.00  DatFile::openForWriting(char const*, int)
  0.00     71.12     0.00     1176     0.00     0.00  DatFile::closeAfterReading()
  0.00     71.12     0.00     1128     0.00     0.00  DatFile::peekAtStats(char const*)
  0.00     71.12     0.00     1128     0.00     0.00  DatFile::readAndAddDatSpectrumStats(std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> >&, unsigned int)
  0.00     71.12     0.00     1126     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<DatFile*, std::vector<DatFile, std::allocator<DatFile> > > >(__gnu_cxx::__normal_iterator<DatFile*, std::vector<DatFile, std::allocator<DatFile> > >)
  0.00     71.12     0.00      900     0.00     0.00  void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > > >(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >, __gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >)
  0.00     71.12     0.00      639     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  0.00     71.12     0.00      569     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::find(std::string const&) const
  0.00     71.12     0.00      444     0.00     0.00  MsClusterDataStorage::computeMinSimilarityForJoiningFromLists(double, unsigned long, unsigned long)
  0.00     71.12     0.00      444     0.00     0.00  MsClusterDataStorage::findPosOfClusterWithMzAbove(float, unsigned long) const
  0.00     71.12     0.00      418     0.00     0.00  std::vector<AA_combo, std::allocator<AA_combo> >::push_back(AA_combo const&)
  0.00     71.12     0.00      408     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<AA_combo*, std::vector<AA_combo, std::allocator<AA_combo> > > >(__gnu_cxx::__normal_iterator<AA_combo*, std::vector<AA_combo, std::allocator<AA_combo> > >)
  0.00     71.12     0.00      406     0.00     0.00  std::vector<float, std::allocator<float> >::_M_insert_aux(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.00     71.12     0.00      348     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, DistancePeak>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, long, DistancePeak)
  0.00     71.12     0.00      343     0.00     0.00  BufferedOutputFile::flush()
  0.00     71.12     0.00      328     0.00     0.00  std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::basic_istringstream(std::string const&, std::_Ios_Openmode) [clone .constprop.370]
  0.00     71.12     0.00      283     0.00     0.00  std::_Rb_tree<float, std::pair<float const, float>, std::_Select1st<std::pair<float const, float> >, std::less<float>, std::allocator<std::pair<float const, float> > >::_M_erase(std::_Rb_tree_node<std::pair<float const, float> >*)
  0.00     71.12     0.00      280     0.00     0.00  std::_Rb_tree<float, std::pair<float const, float>, std::_Select1st<std::pair<float const, float> >, std::less<float>, std::allocator<std::pair<float const, float> > >::_M_copy(std::_Rb_tree_node<std::pair<float const, float> > const*, std::_Rb_tree_node<std::pair<float const, float> >*)
  0.00     71.12     0.00      261     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_insert_unique(std::pair<std::string const, int> const&)
  0.00     71.12     0.00      198     0.00     0.00  std::_Rb_tree<float, std::pair<float const, float>, std::_Select1st<std::pair<float const, float> >, std::less<float>, std::allocator<std::pair<float const, float> > >::_M_insert_unique(std::pair<float const, float> const&)
